,Item_Weight,Item_Visibility,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Has_Been_Standing_For,Minn_sales_of_Item,Max_sales_of_Item,Min_sales_of_store,Min_Visibility,Item_MRP_range
21,8.315,0.035399923,Tier 2|3,Supermarket Type3,4064.0432,24,145.1444,4064.0432,241.6854,0.035399923,3.799999999999983
22,14.6,0.025698133999999997,Tier 2|3,Supermarket Type1,1587.2672,5,198.4084,5555.4352,113.8518,0.025578526,3.4000000000000057
23,15.5,0.057556998,Tier 1,Grocery Store,214.3876,24,214.3876,3215.8140000000003,33.9558,0.032845997,0.8999999999999915
24,13.85,0.025896485,Tier 1,Supermarket Type1,4078.025,12,1794.3310000000001,4078.025,101.8674,0.025891587999999997,3.8999999999999773
25,13.0,0.099887103,Tier 2|3,Supermarket Type1,838.908,2,559.2719999999999,838.908,143.8128,0.09924262199999999,1.3999999999999986
26,7.645,0.06669343700000001,Tier 2|3,Supermarket Type1,1065.28,5,42.6112,1065.28,113.8518,0.0,3.0
27,11.65,0.019356131999999998,Tier 2|3,Supermarket Type1,308.9312,22,77.2328,1042.6428,73.238,0.0,1.8999999999999986
28,5.925,0.161466534,Tier 2|3,Grocery Store,178.4344,11,44.6086,1293.6494,33.29,0.096000183,2.8000000000000043
29,14.5,0.072221801,Tier 1,Grocery Store,125.8362,24,41.9454,1342.2528,33.9558,0.0,3.6000000000000014
30,19.25,0.17034855100000001,Tier 2|3,Grocery Store,163.7868,11,109.1912,2020.0372,33.29,0.101281,3.0
31,18.6,0.080829372,Tier 2|3,Supermarket Type2,2741.7644,0,378.1744,4065.3748,69.2432,0.080111611,3.9000000000000057
32,18.7,0.0,Tier 2|3,Supermarket Type2,3068.0064,0,255.6672,10993.6896,69.2432,0.0,3.1000000000000227
33,17.85,0.0,Tier 2|3,Supermarket Type1,2174.5028,7,567.2616,2269.0464,99.87,0.0,1.6999999999999886
34,17.5,0.097904029,Tier 1,Supermarket Type1,2085.2856,12,347.5476,4344.345,101.8674,0.097429924,3.0999999999999943
35,10.0,0.08929113699999999,Tier 1,Supermarket Type1,3791.0652,10,145.8102,3791.0652,111.8544,0.089078338,3.6999999999999886
36,20.2,0.059511812000000004,Tier 2|3,Supermarket Type3,2797.6916,24,127.1678,3560.6984,241.6854,0.0,3.9000000000000057
37,8.85,0.113123893,Tier 2|3,Supermarket Type2,1609.9044,0,1114.5492,2972.1312,69.2432,0.112119359,3.1000000000000085
38,6.385000000000001,0.12311145300000001,Tier 2|3,Supermarket Type3,388.1614,24,141.1496,388.1614,241.6854,0.12311145300000001,3.8999999999999986
39,15.25,0.026480953999999998,Tier 2|3,Supermarket Type3,2180.495,24,261.6594,2442.1544,241.6854,0.026480953999999998,2.3999999999999915
40,13.35,0.102511504,Tier 1,Supermarket Type1,3435.528,12,916.1408,5725.88,101.8674,0.102426197,2.0
41,9.8,0.02681843,Tier 2|3,Supermarket Type1,2150.534,22,253.00400000000002,3036.048,73.238,0.02681843,2.6000000000000085
42,13.6,0.117818348,Tier 1,Supermarket Type1,2527.3768,10,1944.136,6026.8216,111.8544,0.117065801,3.3000000000000114
43,21.35,0.06910283099999999,Tier 2|3,Supermarket Type2,6768.5228,0,520.6556,7028.8506,69.2432,0.068489201,2.099999999999966
44,12.15,0.042277867000000004,Tier 2|3,Supermarket Type1,373.5138,22,373.5138,1867.569,73.238,0.042277867000000004,3.0
45,6.42,0.08949892599999999,Tier 2|3,Grocery Store,358.2004,11,358.2004,8417.7094,33.29,0.053211728,1.0999999999999943
46,19.6,0.0,Tier 2|3,Supermarket Type1,2428.8384,7,303.6048,6072.096,99.87,0.0,3.0
47,10.0,0.025879577,Tier 2|3,Supermarket Type1,5815.0972,7,3171.8712,7136.7102,99.87,0.025702129,2.6000000000000227
48,15.85,0.121632721,Tier 1,Supermarket Type1,2576.646,12,299.61,2576.646,101.8674,0.121043709,1.3999999999999986
49,10.195,0.25539489600000004,Tier 1,Grocery Store,780.3176,24,780.3176,5852.382,33.9558,0.0,2.8000000000000114
50,7.39,0.067779712,Tier 1,Supermarket Type1,3134.5864,12,1567.2932,3704.5112,101.8674,0.067766896,3.4000000000000057
51,10.195,0.159803853,Tier 2|3,Supermarket Type1,850.8924,22,850.8924,2552.6772,73.238,0.0,1.6999999999999886
52,9.895,0.028696932,Tier 2|3,Supermarket Type1,810.9444,22,810.9444,1506.0396,73.238,0.028696932,2.5
53,10.895,0.065041581,Tier 2|3,Supermarket Type1,3121.2704,2,585.2382,4876.985,143.8128,0.064362554,2.8999999999999773
54,12.15,0.028760012999999997,Tier 2|3,Supermarket Type1,4815.0656,2,1203.7664,4815.0656,143.8128,0.028459761,2.9000000000000057
55,7.905,0.010053105,Tier 2|3,Supermarket Type2,6258.52,0,500.6816,6258.52,69.2432,0.010003986999999999,2.4000000000000057
56,9.195,0.048157338,Tier 2|3,Supermarket Type1,2117.244,7,105.8622,3387.5904,99.87,0.047827139000000005,2.6000000000000085
57,8.365,0.071958197,Tier 1,Supermarket Type1,796.9626,10,37.9506,986.7156,111.8544,0.071498575,3.5
58,15.1,0.17348130399999998,Tier 1,Supermarket Type1,4910.275,12,196.41099999999997,5303.097,101.8674,0.0,2.6999999999999886
59,5.94,0.061082177,Tier 1,Grocery Store,892.172,24,892.172,6066.7696,33.9558,0.034717799,3.5999999999999943
60,10.0,0.0,Tier 2|3,Supermarket Type2,3185.1872,0,3185.1872,7105.4176,69.2432,0.0,3.0999999999999943
61,7.97,0.040071131,Tier 2|3,Supermarket Type1,1062.6168,7,177.1028,1328.271,99.87,0.040071131,3.1000000000000085
62,6.215,0.012090074,Tier 2|3,Supermarket Type3,484.7024,24,111.8544,782.9808,241.6854,0.012090074,2.799999999999997
63,15.5,0.15028599,Tier 1,Grocery Store,147.8076,24,49.2692,985.3839999999999,33.9558,0.08576356199999999,2.9000000000000057
64,17.5,0.026015518999999997,Tier 2|3,Supermarket Type3,2543.356,24,2543.356,5086.712,241.6854,0.0,3.1999999999999886
65,17.7,0.195068226,Tier 2|3,Grocery Store,184.4266,11,184.4266,7192.6374,33.29,0.11597812199999999,3.5999999999999943
66,19.35,0.033082215,Tier 2|3,Supermarket Type1,4865.6664,5,347.5476,7298.4996,113.8518,0.03292824,3.4000000000000057
67,13.65,0.078946455,Tier 2|3,Supermarket Type1,1118.5439999999999,7,745.696,4474.1759999999995,99.87,0.0,3.1999999999999886
68,17.6,0.041700756,Tier 2|3,Supermarket Type1,2302.3364,7,822.263,3453.5046,99.87,0.041581725,2.6999999999999886
69,8.645,0.14342264300000002,Tier 1,Supermarket Type1,2027.361,12,193.082,3282.3940000000002,101.8674,0.14272811300000002,1.9000000000000057
70,15.6,0.10529607199999999,Tier 1,Supermarket Type1,3435.528,12,515.3292,4466.1864,101.8674,0.104786172,3.6999999999999886
71,15.85,0.121531501,Tier 2|3,Supermarket Type1,599.22,22,299.61,2576.646,73.238,0.121043709,1.3999999999999986
72,18.25,0.0,Tier 2|3,Supermarket Type1,4604.6728,7,164.4526,5262.4832,99.87,0.0,3.799999999999983
73,7.855,0.011324862,Tier 2|3,Supermarket Type1,2285.0256,2,571.2564,3998.7948,143.8128,0.011206632,3.4000000000000057
74,7.825,0.186357148,Tier 1,Supermarket Type1,5580.7356,10,761.0094,6849.0846,111.8544,0.0,2.799999999999983
75,8.39,0.024205661,Tier 1,Supermarket Type1,2290.3520000000003,12,1374.2112,2862.94,101.8674,0.024088444,3.4000000000000057
76,12.85,0.033230816,Tier 1,Supermarket Type1,1207.0954,10,517.3266,5345.7082,111.8544,0.033018558999999996,2.0
77,13.35,0.113720344,Tier 1,Grocery Store,643.1628,24,643.1628,2113.2492,33.9558,0.064636203,3.5
78,19.0,0.11255650699999999,Tier 2|3,Supermarket Type1,1587.933,2,952.7598,2964.1416,143.8128,0.111381428,1.8000000000000114
79,5.905,0.0,Tier 2|3,Supermarket Type1,5305.0944,7,884.1824,6852.4136,99.87,0.0,2.8000000000000114
80,7.76,0.05935224099999999,Tier 1,Supermarket Type1,1697.79,12,399.48,1897.53,101.8674,0.05930285,3.1000000000000085
81,11.8,0.014087057,Tier 1,Supermarket Type1,1427.4752,12,535.3032,3747.1224,101.8674,0.0,3.6000000000000227
82,16.75,0.045230944,Tier 2|3,Supermarket Type2,4693.89,0,1126.5336,7510.224,69.2432,0.044829295,3.0999999999999943
83,18.849999999999998,0.293417759,Tier 1,Grocery Store,583.2408,24,583.2408,3110.6176,33.9558,0.167444431,3.0
84,12.6,0.031382044,Tier 2|3,Supermarket Type3,3091.9752,24,687.1056,3779.0808,241.6854,0.031382044,2.6999999999999886
85,15.5,0.12639886,Tier 2|3,Supermarket Type1,2479.4392,2,177.1028,2479.4392,143.8128,0.12568791699999998,2.4000000000000057
86,6.055,0.025403897999999998,Tier 2|3,Supermarket Type1,2716.4640000000004,5,1917.504,5592.72,113.8518,0.02528566,2.5
87,20.2,0.039057677,Tier 2|3,Supermarket Type3,3285.723,24,469.389,3285.723,241.6854,0.039057677,2.5
88,6.305,0.123115764,Tier 1,Supermarket Type1,661.8052,12,283.6308,2363.59,101.8674,0.122519571,2.6000000000000085
89,20.85,0.039624006,Tier 1,Supermarket Type1,1523.3504,10,820.2656,3866.9664,111.8544,0.0,2.0999999999999943
90,20.75,0.040421193,Tier 2|3,Grocery Store,369.519,11,369.519,2956.152,33.29,0.024032484,2.8000000000000114
91,8.895,0.10527411099999999,Tier 1,Supermarket Type1,690.4346,10,40.6138,690.4346,111.8544,0.0,3.1000000000000014
92,19.6,0.033970195,Tier 2|3,Supermarket Type1,1381.535,7,165.7842,1492.0578,99.87,0.033737273,1.5
93,19.7,0.053212652,Tier 2|3,Supermarket Type1,622.523,5,56.593,1754.3829999999998,113.8518,0.052964982,3.6000000000000014
94,9.8,0.024378706,Tier 2|3,Supermarket Type1,1274.3412,5,1274.3412,3938.8728,113.8518,0.02426524,3.5
95,7.93,0.009714595,Tier 1,Grocery Store,487.3656,24,487.3656,2924.1936,33.9558,0.0,3.200000000000003
96,12.15,0.131383762,Tier 1,Supermarket Type1,1231.73,10,739.038,7883.071999999999,111.8544,0.130544568,2.8000000000000114
97,8.75,0.07461309,Tier 2|3,Supermarket Type1,3755.112,5,938.778,7322.4684,113.8518,0.0,1.8999999999999773
98,12.15,0.028459761,Tier 2|3,Supermarket Type3,4363.6532,24,1203.7664,4815.0656,241.6854,0.028459761,2.9000000000000057
99,8.75,0.07462720099999999,Tier 1,Supermarket Type1,1314.2892,12,938.778,7322.4684,101.8674,0.0,1.8999999999999773
100,13.3,0.063695084,Tier 2|3,Supermarket Type1,1805.6496,7,1354.2372,3912.2408,99.87,0.063513272,2.4000000000000057
101,20.599999999999998,0.045797829000000005,Tier 2|3,Supermarket Type3,2854.9504,24,535.3032,3568.688,241.6854,0.0,1.5
102,8.31,0.11585722300000001,Tier 1,Supermarket Type1,3896.2616,10,1948.1308,4427.57,111.8544,0.0,3.0999999999999943
103,16.75,0.024832806000000002,Tier 2|3,Supermarket Type1,667.7974,22,157.1288,1296.3126,73.238,0.0,3.5
104,19.75,0.034027909,Tier 2|3,Supermarket Type2,3185.853,0,424.7804,4460.1942,69.2432,0.033725742999999996,1.9000000000000057
105,17.1,0.046769599999999995,Tier 2|3,Supermarket Type1,2247.7408,22,280.9676,2950.1598,73.238,0.046769599999999995,3.4000000000000057
106,10.5,0.11657670199999999,Tier 2|3,Supermarket Type1,1794.3310000000001,22,1304.968,6035.477,73.238,0.0,2.3999999999999773
107,6.635,0.0,Tier 2|3,Supermarket Type1,2530.7058,7,120.5098,3735.8038,99.87,0.0,2.1000000000000085
108,9.395,0.278974075,Tier 1,Grocery Store,679.1160000000001,24,679.1160000000001,7696.648,33.9558,0.159201868,3.0999999999999943
109,14.15,0.035913805,Tier 2|3,Supermarket Type1,812.2760000000001,22,40.6138,1380.8692,73.238,0.0,2.200000000000003
110,13.3,0.079806266,Tier 1,Supermarket Type1,699.09,12,699.09,5359.69,101.8674,0.079739853,1.5
111,8.89,0.005505481,Tier 2|3,Supermarket Type1,2732.4432,2,101.2016,3542.0559999999996,143.8128,0.005448005,3.5
112,6.69,0.064625342,Tier 1,Grocery Store,176.437,24,176.437,4763.799,33.9558,0.0,2.1999999999999886
113,6.195,0.071636937,Tier 2|3,Supermarket Type3,4097.3332,24,1205.098,4820.392,241.6854,0.071636937,2.9000000000000057
114,9.1,0.0,Tier 2|3,Supermarket Type1,3151.8972,7,700.4216,3151.8972,99.87,0.0,3.8000000000000114
115,7.5,0.032677677999999995,Tier 1,Supermarket Type1,5942.265,10,237.6906,6893.0274,111.8544,0.0,3.6999999999999886
116,16.85,0.160760054,Tier 2|3,Supermarket Type1,4843.695,2,387.4956,5812.434,143.8128,0.159081735,3.0999999999999943
117,7.485,0.06911065,Tier 2|3,Supermarket Type1,2542.0244,5,1105.228,2542.0244,113.8518,0.06911065,3.3999999999999915
118,11.6,0.041177505,Tier 2|3,Supermarket Type1,2552.6772,2,283.6308,3829.0158,143.8128,0.0,2.6999999999999886
119,11.65,0.040081193,Tier 2|3,Supermarket Type2,1141.847,0,1141.847,6622.7126,69.2432,0.039980643999999996,1.9000000000000057
120,13.0,0.035307322,Tier 2|3,Supermarket Type1,680.4476,2,145.8102,923.4646,143.8128,0.034938717,1.5
121,12.65,0.063017847,Tier 2|3,Supermarket Type1,2085.9514,7,962.7468,4332.3606,99.87,0.062837968,2.5
122,20.25,0.171938781,Tier 2|3,Grocery Store,186.424,11,186.424,3075.9959999999996,33.29,0.0,3.299999999999997
123,8.6,0.040197932,Tier 2|3,Supermarket Type1,3036.048,5,1707.777,7590.12,113.8518,0.040172077,3.0999999999999943
124,12.6,0.049058014000000004,Tier 2|3,Supermarket Type1,866.8716,2,619.194,1114.5492,143.8128,0.048545853,2.6000000000000014
125,17.7,0.01161096,Tier 2|3,Supermarket Type1,868.8689999999999,5,96.541,2220.4429999999998,113.8518,0.0,3.700000000000003
126,14.15,0.183507295,Tier 1,Supermarket Type1,1137.1864,12,1137.1864,1705.7796,101.8674,0.183472595,0.8999999999999915
127,19.25,0.102349519,Tier 2|3,Supermarket Type1,928.1252,2,109.1912,2020.0372,143.8128,0.101281,3.0
128,8.88,0.08670898699999999,Tier 2|3,Supermarket Type1,762.341,22,762.341,2896.8958,73.238,0.0,2.799999999999983
129,20.5,0.032835147,Tier 2|3,Supermarket Type1,707.0796,7,314.2576,1257.0304,99.87,0.032610007,3.0
130,12.0,0.033809913,Tier 2|3,Supermarket Type3,7968.2944,24,3440.8544,7968.2944,241.6854,0.033809913,2.5
131,13.5,0.07266912,Tier 1,Supermarket Type1,1438.128,12,159.792,3994.8,101.8674,0.072317217,3.9000000000000057
132,12.15,0.144338493,Tier 2|3,Supermarket Type3,6976.2524,24,225.0404,6976.2524,241.6854,0.0,2.700000000000017
133,8.89,0.009163216,Tier 2|3,Grocery Store,101.2016,11,101.2016,3542.0559999999996,33.29,0.005448005,3.5
134,7.855,0.011307038,Tier 2|3,Supermarket Type2,952.0939999999999,0,571.2564,3998.7948,69.2432,0.011206632,3.4000000000000057
135,7.235,0.076855628,Tier 1,Supermarket Type1,1969.4364,12,1506.0396,2664.5316,101.8674,0.07679167099999999,1.5
136,18.25,0.059956876,Tier 2|3,Supermarket Type3,5262.4832,24,164.4526,5262.4832,241.6854,0.0,3.799999999999983
137,6.92,0.038532062,Tier 2|3,Supermarket Type1,1314.2892,7,438.0964,1314.2892,99.87,0.038422076,3.700000000000003
138,9.3,0.043209581,Tier 2|3,Supermarket Type1,535.3032,2,535.3032,2051.9956,143.8128,0.042758477,2.4000000000000057
139,18.5,0.056816465,Tier 2|3,Grocery Store,263.6568,11,263.6568,2768.3964,33.29,0.03391645,3.299999999999983
140,8.02,0.019866705,Tier 2|3,Supermarket Type1,1402.1748,5,1090.5804,3427.5384,113.8518,0.0,3.5
141,9.195,0.048331717,Tier 2|3,Supermarket Type1,1693.7952,2,105.8622,3387.5904,143.8128,0.047827139000000005,2.6000000000000085
142,12.8,0.091221855,Tier 2|3,Supermarket Type1,2143.876,7,214.3876,2251.0698,99.87,0.090596378,3.3999999999999915
143,16.6,0.027622076000000002,Tier 1,Supermarket Type1,2676.5159999999996,10,356.8688,2676.5159999999996,111.8544,0.027556247000000002,2.0999999999999943
144,14.0,0.0,Tier 2|3,Supermarket Type1,905.488,5,159.792,2290.3520000000003,113.8518,0.0,2.8000000000000043
145,18.6,0.039355947,Tier 1,Supermarket Type1,7370.406,10,245.6802,7370.406,111.8544,0.039294854,3.0
146,16.0,0.060836524,Tier 2|3,Supermarket Type1,6301.1312,5,2925.5252,6301.1312,113.8518,0.060797393,3.0
147,17.6,0.082316506,Tier 2|3,Supermarket Type1,1597.92,5,159.792,6391.68,113.8518,0.081933378,1.299999999999983
148,21.25,0.155350299,Tier 2|3,Supermarket Type1,529.311,5,529.311,5469.547,113.8518,0.154627247,2.5
149,7.235,0.076841095,Tier 2|3,Supermarket Type1,1969.4364,5,1506.0396,2664.5316,113.8518,0.07679167099999999,1.5
150,14.6,0.151419185,Tier 2|3,Supermarket Type1,1034.6532,2,443.4228,1379.5376,143.8128,0.150801606,2.799999999999997
151,13.85,0.026001976,Tier 2|3,Supermarket Type2,1794.3310000000001,0,1794.3310000000001,4078.025,69.2432,0.025891587999999997,3.8999999999999773
152,13.65,0.073209447,Tier 2|3,Supermarket Type2,2768.3964,0,790.9704,5536.7928,69.2432,0.072559351,3.0999999999999943
153,9.5,0.041683481,Tier 2|3,Supermarket Type3,898.83,24,33.29,898.83,241.6854,0.0,2.1000000000000014
154,7.365,0.042560252,Tier 1,Supermarket Type1,3169.208,12,452.744,7017.531999999999,101.8674,0.042354152,3.200000000000017
155,18.35,0.014081156000000001,Tier 2|3,Supermarket Type2,3589.9936,0,1346.2476,5609.365,69.2432,0.013956116000000001,3.1000000000000227
156,5.465,0.0,Tier 2|3,Supermarket Type2,262.3252,0,262.3252,3672.5528,69.2432,0.0,4.0
157,18.6,0.152918384,Tier 2|3,Supermarket Type1,1910.1802,2,201.0716,1910.1802,143.8128,0.15193174199999998,2.6000000000000085
158,13.85,0.030969273999999998,Tier 2|3,Supermarket Type1,1701.7848,2,141.8154,2978.1234,143.8128,0.030645957999999997,2.4000000000000057
159,14.0,0.06037677599999999,Tier 2|3,Supermarket Type1,2471.4496,22,1390.1904,6024.1584,73.238,0.060134441,1.8000000000000114
160,14.0,0.04192285,Tier 2|3,Supermarket Type1,1331.6,22,53.263999999999996,1597.92,73.238,0.041754584,2.3999999999999986
161,21.35,0.077367431,Tier 2|3,Supermarket Type3,1808.9786,24,190.4188,1808.9786,241.6854,0.077367431,2.9000000000000057
162,5.905,0.045838211,Tier 2|3,Supermarket Type2,3315.684,0,884.1824,6852.4136,69.2432,0.0,2.8000000000000114
163,7.27,0.071077939,Tier 1,Supermarket Type1,2618.5914,12,113.8518,2618.5914,101.8674,0.071064499,2.6000000000000085
164,6.155,0.09465987099999999,Tier 1,Supermarket Type1,2769.728,12,852.2239999999999,6817.7919999999995,101.8674,0.09420147699999999,1.1999999999999886
165,19.5,0.077608838,Tier 2|3,Supermarket Type1,5375.0034,2,467.3916,8413.0488,143.8128,0.076798609,3.5
166,15.2,0.021327477,Tier 2|3,Supermarket Type1,2838.9712,2,218.3824,6769.8544,143.8128,0.02110482,3.1000000000000227
167,12.15,0.042485444000000004,Tier 2|3,Supermarket Type2,1743.0644,0,373.5138,1867.569,69.2432,0.042277867000000004,3.0
168,14.6,0.025578526,Tier 2|3,Supermarket Type3,5555.4352,24,198.4084,5555.4352,241.6854,0.025578526,3.4000000000000057
169,12.6,0.048980800000000005,Tier 2|3,Supermarket Type2,619.194,0,619.194,1114.5492,69.2432,0.048545853,2.6000000000000014
170,14.5,0.019471688,Tier 2|3,Supermarket Type1,2120.573,5,815.605,5546.1140000000005,113.8518,0.01938106,3.1999999999999886
171,16.6,0.122918852,Tier 2|3,Supermarket Type1,3823.0236,2,347.5476,3823.0236,143.8128,0.0,2.5
172,11.8,0.057373797000000004,Tier 2|3,Supermarket Type1,1360.2294,22,1360.2294,6196.6006,73.238,0.057143515,3.0999999999999943
173,13.1,0.044155597000000005,Tier 2|3,Supermarket Type1,3969.4996,22,180.4318,3969.4996,73.238,0.0,1.8999999999999773
174,17.7,0.291865402,Tier 2|3,Grocery Store,345.5502,11,345.5502,4376.9692,33.29,0.0,3.9000000000000057
175,17.85,0.0,Tier 2|3,Grocery Store,585.2382,11,585.2382,6242.5408,33.29,0.0,3.5999999999999943
176,12.3,0.064750025,Tier 2|3,Supermarket Type1,1010.6844,7,183.7608,2297.01,99.87,0.064565202,4.0
177,11.8,0.098312421,Tier 2|3,Grocery Store,161.1236,11,161.1236,2336.2922,33.29,0.058451805,3.200000000000003
178,9.395,0.191013663,Tier 1,Grocery Store,42.6112,24,42.6112,980.0576,33.9558,0.10856806699999999,3.299999999999997
179,11.1,0.176573035,Tier 2|3,Supermarket Type1,3010.7476,7,792.302,4436.8912,99.87,0.0,2.5999999999999943
180,14.0,0.060134441,Tier 2|3,Supermarket Type3,6024.1584,24,1390.1904,6024.1584,241.6854,0.060134441,1.8000000000000114
181,11.3,0.0072946519999999996,Tier 2|3,Supermarket Type1,988.7130000000001,7,593.2278,5141.3076,99.87,0.0,3.0999999999999943
182,10.0,0.128478462,Tier 1,Grocery Store,239.688,24,239.688,3115.9440000000004,33.9558,0.0,3.8999999999999915
183,5.75,0.075107656,Tier 2|3,Supermarket Type1,1374.2112,22,572.5880000000001,3435.528,73.238,0.07480619599999999,3.5
184,6.215,0.049381405999999996,Tier 2|3,Supermarket Type3,4739.8302,24,225.7062,5191.2426,241.6854,0.049381405999999996,3.0
185,11.35,0.045165795999999994,Tier 2|3,Supermarket Type2,1012.0160000000001,0,202.4032,3137.2496,69.2432,0.0,3.0
186,11.1,0.09415375,Tier 1,Grocery Store,657.8104,24,164.4526,2631.2416,33.9558,0.0,2.799999999999983
187,14.0,0.028907832,Tier 1,Supermarket Type1,778.9860000000001,10,129.83100000000002,3635.268,111.8544,0.028723187,2.5
188,19.75,0.018059621,Tier 2|3,Supermarket Type1,2336.958,7,719.064,3415.554,99.87,0.018008071,2.0
189,6.525,0.09043609400000001,Tier 1,Supermarket Type1,2233.0932,10,85.8882,2233.0932,111.8544,0.089858447,2.200000000000003
190,10.3,0.146399712,Tier 1,Supermarket Type1,1661.8368,10,311.5944,3219.8088,111.8544,0.145464606,3.3999999999999915
191,5.78,0.07426435599999999,Tier 1,Supermarket Type1,4745.8224,10,790.9704,6855.0768,111.8544,0.0,2.6999999999999886
192,11.85,0.050186725999999994,Tier 2|3,Supermarket Type1,3124.5994,7,328.9052,3946.8624,99.87,0.049842613,2.1999999999999886
193,16.35,0.020631654,Tier 2|3,Supermarket Type2,467.3916,0,155.7972,1298.31,69.2432,0.020544065,3.299999999999997
194,17.6,0.01561108,Tier 2|3,Supermarket Type3,5070.7328,24,543.2928,5070.7328,241.6854,0.01561108,3.5
195,10.5,0.041395445,Tier 1,Supermarket Type1,540.6296,12,540.6296,1235.7248,101.8674,0.041194986,3.299999999999997
196,19.0,0.097313129,Tier 1,Supermarket Type1,992.7078,12,47.2718,1039.9796,101.8674,0.09729472800000001,3.3999999999999986
197,14.6,0.059582996,Tier 1,Supermarket Type1,6008.845,10,2163.1842,6008.845,111.8544,0.0,4.0
198,15.6,0.09866365199999999,Tier 2|3,Supermarket Type3,2105.2596,24,123.8388,2105.2596,241.6854,0.0,3.6000000000000014
199,4.615,0.101338651,Tier 2|3,Supermarket Type3,5359.69,24,2563.33,5359.69,241.6854,0.101338651,3.0
200,18.75,0.052146455999999994,Tier 2|3,Supermarket Type1,745.696,7,745.696,2343.616,99.87,0.052040915,3.5
201,5.26,0.041764487,Tier 2|3,Supermarket Type1,3275.736,5,2293.0152,5404.9644,113.8518,0.0,3.700000000000017
202,18.25,0.054344185999999996,Tier 2|3,Supermarket Type1,1701.7848,7,567.2616,6381.693,99.87,0.053971566,3.3000000000000114
203,10.3,0.07836248400000001,Tier 2|3,Supermarket Type3,6704.606,24,352.874,6704.606,241.6854,0.07836248400000001,3.4000000000000057
204,15.1,0.052339069,Tier 1,Supermarket Type1,4119.9704,12,484.7024,5816.4288,101.8674,0.0,2.0
205,15.5,0.042464962,Tier 2|3,Grocery Store,327.5736,11,327.5736,3439.5228,33.29,0.02524761,2.200000000000003
206,13.65,0.06573288299999999,Tier 1,Supermarket Type1,780.9834,10,459.402,1516.0266,111.8544,0.065313024,2.0
207,16.1,0.023625114,Tier 2|3,Supermarket Type1,3630.6074,7,191.0846,9554.23,99.87,0.023463124,3.8000000000000114
208,5.175,0.051643608,Tier 1,Grocery Store,317.5866,24,211.7244,3281.7282,33.9558,0.029471407999999998,2.5
209,12.85,0.165694219,Tier 2|3,Grocery Store,231.6984,11,38.6164,1312.9576,33.29,0.0,2.3999999999999986
